lon,lat
-122.156468,37.7477475
-122.1821477,37.7497908
-122.16521,37.795964
-122.1722837,37.7535612
-85.9897804,42.8111773
-122.1465205,37.7460232
-122.216551,37.836703
-122.207794,37.78104
-122.186817,37.756565
-122.2089309,37.769329
-122.209433,37.768366
-122.2499032,37.7909046
-122.122209,37.755926
-122.1869775,37.7698522
-122.278861,37.8466049
-122.22796,37.79143
-122.257664,37.827602
-122.215215,37.826191
-122.238969,37.796764
-122.148446,37.757816
-122.1542217,37.7486194
-122.1880753,37.7329554
-122.134641,37.759578
-122.1866238,37.7314911
-122.233015,37.853724
-122.2825062,37.804731
-122.159034,37.868527
-122.172068,37.880115
-122.150067,37.861244
-122.186959,37.888772
-122.166872,37.865287
-122.175813,37.909874
-122.180057,37.915694
-122.194057,37.916586
-122.166187,37.899055
-122.162043,37.910563
-122.192761,37.918472
-122.163735,37.870234
-122.150445,37.843555
-122.153762,37.864506
-122.163843,37.912421
-122.178794,37.908137
-122.181425,37.901212
-122.169005,37.890566
-122.171541,37.868388
-122.157214,37.871822
-122.167671,37.911147
-122.194056,37.89876
-122.186059,37.905943
-122.178486,37.90646
-122.195417,37.897426
-122.193426,37.905982
-122.181913,37.888166
-122.1608628,37.8710817
-122.167639,37.911991
-122.180107,37.889674
-122.165529,37.911349
-122.176271,37.879326
-122.2063145,37.8923372
-122.178033,37.893216
-122.146293,37.866714
-122.173233,37.880358
-122.171563,37.910474
-122.172492,37.915337
-122.17079,37.911623
-122.2326391,37.8295051
-122.226209,37.8251459
-122.231111,37.822894
-122.231677,37.819581
-122.22322,37.819348
-122.226233,37.819073
-122.2317135,37.8209255
-122.225862,37.820312
-122.225306,37.823986
-122.221594,37.8240957
-122.226949,37.815231
-122.223181,37.8190669
-122.2224,37.814659
-122.222526,37.816682
-122.2399654,37.8276262
-122.220339,37.822377
-122.223664,37.8205
-122.224353,37.819224
-122.224828,37.816347
-122.2319839,37.8217291
-122.229906,37.820765
-122.2211,37.822946
-122.226727,37.822707
-122.226183,37.819736
-122.303681,38.005943
-122.283461,38.0065529
-122.096129,37.946509
-122.094368,37.949055
-122.095727,37.944481
-122.3552017,37.9300021
-122.3684332,37.9278713
-122.353704,37.927325
-122.272302,37.959931
-122.355121,37.9408249
-122.3546398,37.924988
-122.352286,37.948675
-122.309662,37.981881
-122.3344005,37.9503987
-122.321764,37.917651
-122.357311,37.940178
-122.3368322,37.9376686
-122.3235355,37.921345
-122.314912,37.980982
-122.3074932,37.9057054
-122.3457077,37.9410114
-122.353913,37.98869
-122.364431,37.9592972
-122.257094,38.020478
-122.2644394,38.0301187
-122.163845,37.733615
-122.133288,37.731958
-122.136734,37.716226
-122.1190972,37.7018559
-122.146324,37.680205
-122.1657883,37.7361207
-122.125715,37.706601
-122.1502124,37.7257994
-122.1605606,37.7171398
-122.177675,37.704982
-122.122691,37.6812309
-122.144086,37.667526
-122.126106,37.684456
-122.32364,37.95118
-122.35333,37.966576
-121.942548,37.783852
-121.997297,37.770237
-121.938248,37.78128
-121.9378712,37.7725811
-121.937855,37.779476
-122.062142,37.882395
-122.0643,37.87347
-122.077141,37.911481
-122.034898,37.881697
-122.026417,37.891073
-122.06956,37.925073
-122.088546,37.916478
-122.070169,37.887209
-122.035666,37.8799009
-122.059205,37.884015
-122.046931,37.895282
-122.027074,37.891718
